E5600056	P004	222	15	15	20160214-16	30
E5600056	P004	222	5	5	20160214-15	30
E5600056	P004	222	6	6	20160214-14	30
E5600056	P004	222	8	8	20160214-13	30
E5600056	P004	222	3	3	20160214-12	30
E5600056	P004	222	1	1	20160214-11	30
E5600056	P004	222	1	1	20160214-10	30
E5600056	P004	222	9	9	20160214-09	30
E5600056	P004	222	63	63	20160214-08	30
E5600056	P004	222	8	8	20160214-07	30
E5600056	P004	222	4	4	20160214-06	30
E5600056	P004	222	1	1	20160214-05	30
E5600056	P004	222	1	1	20160214-04	30
E5600056	P004	222	10	10	20160214-03	30
E5600056	P004	222	12	12	20160214-02	30
E5600056	P004	222	9	9	20160214-01	30
E5600056	P004	222	4	4	20160214-00	30
E5600056	P004	222	12	12	20160213-21	30
E5600056	P004	222	14	14	20160213-20	30
E5600056	P004	222	10	10	20160213-19	30
E5600056	P004	223	50	50	20160214-16	60
E5600056	P004	223	49	49	20160214-15	60
E5600056	P004	223	52	52	20160214-14	60
E5600056	P004	223	52	52	20160214-13	60
E5600056	P004	223	51	51	20160214-12	60
E5600056	P004	223	49	49	20160214-11	60
E5600056	P004	223	47	47	20160214-10	60
E5600056	P004	223	43	43	20160214-09	60
E5600056	P004	223	77	77	20160214-08	60
E5600056	P004	223	45	45	20160214-07	60
E5600056	P004	223	44	44	20160214-06	60
E5600056	P004	223	44	44	20160214-05	60
E5600056	P004	223	43	43	20160214-04	60
E5600056	P004	223	46	46	20160214-03	60
E5600056	P004	223	49	49	20160214-02	60
E5600056	P004	223	48	48	20160214-01	60
E5600056	P004	223	47	47	20160214-00	60
E5600056	P004	223	47	47	20160213-21	60
E5600056	P004	223	46	46	20160213-20	60
E5600056	P004	223	44	44	20160213-19	60
E5600056	P004	224	10	10	20160214-16	200
E5600056	P004	224	6	6	20160214-15	200
E5600056	P004	224	9	9	20160214-14	200
E5600056	P004	224	6	6	20160214-13	200
E5600056	P004	224	8	8	20160214-12	200
E5600056	P004	224	8	8	20160214-11	200
E5600056	P004	224	8	8	20160214-10	200
E5600056	P004	224	6	6	20160214-09	200
E5600056	P004	224	61	61	20160214-08	200
E5600056	P004	224	7	7	20160214-07	200
E5600056	P004	224	9	9	20160214-06	200
E5600056	P004	224	7	7	20160214-05	200
E5600056	P004	224	5	5	20160214-04	200
E5600056	P004	224	6	6	20160214-03	200
E5600056	P004	224	8	8	20160214-02	200
E5600056	P004	224	8	8	20160214-01	200
E5600056	P004	224	8	8	20160214-00	200
E5600056	P004	224	6	6	20160213-21	200
E5600056	P004	224	5	5	20160213-20	200
E5600056	P004	224	3	3	20160213-19	200
E5600056	P004	236	7	7	20160214-16	0
E5600056	P004	236	7	7	20160214-15	0
E5600056	P004	236	7	7	20160214-14	0
E5600056	P004	236	7	7	20160214-13	0
E5600056	P004	236	7	7	20160214-12	0
E5600056	P004	236	7	7	20160214-11	0
E5600056	P004	236	7	7	20160214-10	0
E5600056	P004	236	6	6	20160214-09	0
E5600056	P004	236	6	6	20160214-08	0
E5600056	P004	236	7	7	20160214-07	0
E5600056	P004	236	7	7	20160214-06	0
E5600056	P004	236	7	7	20160214-05	0
E5600056	P004	236	7	7	20160214-04	0
E5600056	P004	236	7	7	20160214-03	0
E5600056	P004	236	7	7	20160214-02	0
E5600056	P004	236	7	7	20160214-01	0
E5600056	P004	236	7	7	20160214-00	0
E5600056	P004	236	7	7	20160213-21	0
E5600056	P004	236	7	7	20160213-20	0
E5600056	P004	236	7	7	20160213-19	0
E5600056	P004	248	50988	50988	20160214-16	2000
E5600056	P004	248	51610	51610	20160214-15	2000
E5600056	P004	248	51083	51083	20160214-14	2000
E5600056	P004	248	51612	51612	20160214-13	2000
E5600056	P004	248	52433	52433	20160214-12	2000
E5600056	P004	248	52522	52522	20160214-11	2000
E5600056	P004	248	52909	52909	20160214-10	2000
E5600056	P004	248	55993	55993	20160214-09	2000
E5600056	P004	248	63534	63534	20160214-08	2000
E5600056	P004	248	51765	51765	20160214-07	2000
E5600056	P004	248	52551	52551	20160214-06	2000
